id , BZCAT5 Source name , Other name , BZCAT name , RA (J2000.0) , Dec (J2000.0) , Redshift , Redshiftflag , Rmag , Source classification , Flux density 1.4/0.843GHz(mJy) , Flux density 5.0GHz(mJy) , Flux density143GHz(mJy) , X-ray flux0.1-2.4 keV(1.e-12 cgs) , Fermi flux1-100 GeV(ph/cm2/s)
2774 , 5BZBJ1714+5601 , ROXAJ171427.4+560155.9 , BZBJ1714+5601  , 258.61421 , 56.03222 , 0.401 ,  , 19.3 , BL Lac , 6 ,  ,  , 0.34 , 
2775 , 5BZBJ1714+3036 , BZBJ1714+3036  , BZBJ1714+3036  , 258.68975 , 30.60778 ,  ,  , 18.6 , BL Lac , 2 ,  ,  , 0.25 , 
2776 , 5BZBJ1715+2929 , SDSSJ171501.35+292912.3 , BZBJ1715+2929  , 258.75567 , 29.48675 ,  ,  , 19.5 , BL Lac , 24 ,  ,  ,  , 
2777 , 5BZQJ1715+3619 , GB6J1715+3619  , BZQJ1715+3619  , 258.78487 , 36.33058 , 0.555 ,  , 20.1 , QSO RLoud flat radio sp. , 91 , 93 ,  , 0.22 , 
2778 , 5BZGJ1715+5724 , 1WGAJ1715.3+5724 , BZUJ1715+5724  , 258.84579 , 57.41119 , 0.027 ,  , 8 , BL Lac-galaxy dominated , 57 , 35 ,  , 7.37 , 
2779 , 5BZQJ1715+6323 , 1RXSJ171535.3+632352 , BZQJ1715+6323  , 258.89983 , 63.39336 , 2.182 ,  , 18.2 , QSO RLoud flat radio sp. , 36 , 37 ,  , 0.06 , 
2780 , 5BZQJ1716+2152 , GC1714+21  , BZQJ1716+2152  , 259.04662 , 21.87047 , 0.358 ,  , 19.5 , QSO RLoud flat radio sp. , 685 , 703 ,  , 0.46 , 
2781 , 5BZQJ1716+6836 , S41716+68  , BZQJ1716+6836  , 259.05808 , 68.61075 , 0.777 ,  , 17.8 , QSO RLoud flat radio sp. , 489 , 838 , 633 , 1.41 , 1.2e-9
2782 , 5BZQJ1716-0452 , BZQJ1716-0452  , BZQJ1716-0452  , 259.11037 , -4.86997 , 1.026 ,  , 18.7 , QSO RLoud flat radio sp. , 510 , 659 ,  ,  , 
2783 , 5BZGJ1717+2931 , BZBJ1717+2931  , BZBJ1717+2931  , 259.27871 , 29.52253 , 0.276 ,  , 16.7 , BL Lac-galaxy dominated , 3 ,  ,  , 3.29 , 
2784 , 5BZQJ1717+2621 , ROXAJ171715.5+262149.6 , BZQJ1717+2621  , 259.31321 , 26.36358 , 1.934 ,  , 18.5 , QSO RLoud flat radio sp. , 84 , 50 ,  , 0.17 , 
2785 , 5BZGJ1717+4227 , GB6B1715+4230  , BZUJ1717+4227  , 259.33008 , 42.45 , 0.183 ,  , 12.8 , BL Lac-galaxy dominated , 134 , 125 ,  , 2.03 , 
2786 , 5BZQJ1717-5155 ,  ,  , 259.39438 , -51.92556 , 1.158 ,  , 18.3 , QSO RLoud flat radio sp. ,  , 154 ,  ,  , 
2787 , 5BZBJ1717-3342 , TEX1714-336  , BZBJ1717-3342  , 259.40012 , -33.70244 ,  ,  , 17.3 , BL Lac Candidate , 624 , 864 , 1907 ,  , 8.7e-9
2788 , 5BZGJ1718+4228 , BZUJ1718+4228  , BZUJ1718+4228  , 259.56333 , 42.472 , 0.18 ,  , 16 , BL Lac-galaxy dominated , 108 , 86 ,  , 0.16 , 
2789 , 5BZBJ1719+5524 , SDSSJ171902.34+552434.5 ,  , 259.75975 , 55.40178 , 0.626 ,  , 20.8 , BL Lac , 2 ,  ,  , 0.26 , 
2790 , 5BZBJ1719+1745 , PKS 1717+177  , BZBJ1719+1745  , 259.80438 , 17.75178 ,  ,  , 17.3 , BL Lac , 543 , 559 , 467 , 0.36 , 2.2e-9
2791 , 5BZGJ1719+4858 , ARP 102B  , BZUJ1719+4858  , 259.81025 , 48.98042 , 0.024 ,  , 9.4 , BL Lac-galaxy dominated , 145 , 164 ,  , 0.59 , 
2792 , 5BZQJ1719+4804 , PG 1718+481  , BZQJ1719+4804  , 259.90917 , 48.07 , 1.084 ,  , 14.3 , QSO RLoud flat radio sp. , 63 , 109 ,  , 1.25 , 
2793 , 5BZBJ1719+7443 , RXSJ17196+7443  , BZBJ1719+7443  , 259.92083 , 74.71667 ,  ,  , 19.6 , BL Lac Candidate , 4 ,  ,  , 0.17 , 
2794 , 5BZQJ1719+0817 , GB6B1717+0820  , BZQJ1719+0817  , 259.96754 , 8.28433 , 1.185 ,  , 16.5 , QSO RLoud flat radio sp. , 313 , 499 ,  ,  , 
2795 , 5BZQJ1721+3542 , S41719+357  , BZUJ1721+3542  , 260.28954 , 35.70447 , 0.283 ,  , 17.9 , QSO RLoud flat radio sp. , 819 , 784 ,  , 0.72 , 
2796 , 5BZBJ1721+6004 , BZBJ1721+6004  , BZBJ1721+6004  , 260.31913 , 60.06844 , 0.531 ,  , 19.6 , BL Lac , 3 ,  ,  , 0.18 , 
2797 , 5BZQJ1722+5856 , GB6B1721+5859  , BZQJ1722+5856  , 260.65304 , 58.93953 , 1.979 ,  , 19.6 , QSO RLoud flat radio sp. , 228 , 314 ,  , 0.1 , 
2798 , 5BZQJ1722+6105 , GB6B1722+6108  , BZQJ1722+6105  , 260.66692 , 61.09992 , 2.058 ,  , 19.1 , QSO RLoud flat radio sp. , 154 , 245 ,  , 0.12 , 
2799 , 5BZQJ1722+2815 , BZQJ1722+2815  , BZQJ1722+2815  , 260.67567 , 28.25003 , 0.945 ,  , 18 , QSO RLoud flat radio sp. , 238 , 224 ,  , 0.4 , 
2800 , 5BZQJ1722+1013 , MC2 1720+102  , BZQJ1722+1013  , 260.68575 , 10.22661 , 0.732 ,  , 19.4 , QSO RLoud flat radio sp. , 540 , 449 ,  , 0.52 , 2.3e-9
2801 , 5BZQJ1722+5611 , GB6B1722+5614  ,  , 260.74171 , 56.18953 , 2.269 ,  , 20.4 , QSO RLoud flat radio sp. , 200 , 125 ,  ,  , 
2802 , 5BZQJ1723+6547 , 1RXSJ172313.5+654803 , BZQJ1723+6547  , 260.80892 , 65.79614 , 1.442 ,  , 16.9 , QSO RLoud flat radio sp. , 239 , 182 ,  , 0.07 , 
2803 , 5BZQJ1724+4004 , S41722+401  , BZQJ1724+4004  , 261.02262 , 40.07681 , 1.049 ,  , 21 , QSO RLoud flat radio sp. , 568 , 524 ,  ,  , 2.1e-9
2804 , 5BZQJ1724+3303 , B2 1722+33  , BZQJ1724+3303  , 261.05917 , 33.05108 , 0.548 ,  , 19.6 , QSO RLoud flat radio sp. , 414 , 475 ,  , 0.24 , 
